Homology group node id,class,Genome 1,Genome 2,Genome 3,Genome 4
217926,core & single copy orthologous,1,1,1,1
217927,core & single copy orthologous,1,1,1,1
217928,core & single copy orthologous,1,1,1,1
217931,core & single copy orthologous,1,1,1,1
217932,core & single copy orthologous,1,1,1,1
217933,core & single copy orthologous,1,1,1,1
217934,core & single copy orthologous,1,1,1,1
217939,core & single copy orthologous,1,1,1,1
217946,core & single copy orthologous,1,1,1,1
217947,core & single copy orthologous,1,1,1,1
217948,core & single copy orthologous,1,1,1,1
217951,core & single copy orthologous,1,1,1,1
217952,core & single copy orthologous,1,1,1,1
217953,core & single copy orthologous,1,1,1,1
217954,core & single copy orthologous,1,1,1,1
217957,core & single copy orthologous,1,1,1,1
217958,core & single copy orthologous,1,1,1,1
217969,core & single copy orthologous,1,1,1,1
217971,core & single copy orthologous,1,1,1,1
217989,core & single copy orthologous,1,1,1,1
217991,core & single copy orthologous,1,1,1,1
217993,core,5,1,1,1
218009,core,2,2,2,1
218010,core & single copy orthologous,1,1,1,1
218015,core & single copy orthologous,1,1,1,1
218016,core,2,2,2,2
218017,core & single copy orthologous,1,1,1,1
218018,core,1,1,2,1
218019,core & single copy orthologous,1,1,1,1
218028,core & single copy orthologous,1,1,1,1
218029,core & single copy orthologous,1,1,1,1
218030,core & single copy orthologous,1,1,1,1
218031,core & single copy orthologous,1,1,1,1
218032,core & single copy orthologous,1,1,1,1
218033,core,2,1,2,1
218034,core & single copy orthologous,1,1,1,1
218035,core & single copy orthologous,1,1,1,1
218037,core & single copy orthologous,1,1,1,1
218039,core & single copy orthologous,1,1,1,1
218040,core & single copy orthologous,1,1,1,1
218041,core & single copy orthologous,1,1,1,1
218042,core & single copy orthologous,1,1,1,1
218043,core & single copy orthologous,1,1,1,1
218044,core & single copy orthologous,1,1,1,1
218045,core & single copy orthologous,1,1,1,1
218046,core & single copy orthologous,1,1,1,1
218047,core & single copy orthologous,1,1,1,1
218048,core & single copy orthologous,1,1,1,1
218049,core & single copy orthologous,1,1,1,1
218050,core & single copy orthologous,1,1,1,1
218051,core & single copy orthologous,1,1,1,1
218056,core & single copy orthologous,1,1,1,1
218057,core & single copy orthologous,1,1,1,1
218058,core & single copy orthologous,1,1,1,1
218060,core & single copy orthologous,1,1,1,1
218061,core & single copy orthologous,1,1,1,1
218062,core & single copy orthologous,1,1,1,1
218063,core & single copy orthologous,1,1,1,1
218064,core & single copy orthologous,1,1,1,1
218065,core & single copy orthologous,1,1,1,1
218066,core & single copy orthologous,1,1,1,1
218067,core & single copy orthologous,1,1,1,1
218069,core & single copy orthologous,1,1,1,1
218070,core & single copy orthologous,1,1,1,1
218079,core & single copy orthologous,1,1,1,1
218080,core & single copy orthologous,1,1,1,1
218081,core & single copy orthologous,1,1,1,1
218083,core & single copy orthologous,1,1,1,1
218084,core & single copy orthologous,1,1,1,1
218085,core & single copy orthologous,1,1,1,1
218086,core & single copy orthologous,1,1,1,1
218087,core & single copy orthologous,1,1,1,1
218088,core & single copy orthologous,1,1,1,1
218089,core & single copy orthologous,1,1,1,1
218090,core,2,1,1,1
218091,core & single copy orthologous,1,1,1,1
218092,core & single copy orthologous,1,1,1,1
218093,core & single copy orthologous,1,1,1,1
218094,core & single copy orthologous,1,1,1,1
218095,core & single copy orthologous,1,1,1,1
218096,core & single copy orthologous,1,1,1,1
218098,core & single copy orthologous,1,1,1,1
218099,core & single copy orthologous,1,1,1,1
218101,core & single copy orthologous,1,1,1,1
218102,core & single copy orthologous,1,1,1,1
218103,core & single copy orthologous,1,1,1,1
218104,core & single copy orthologous,1,1,1,1
218105,core & single copy orthologous,1,1,1,1
218106,core & single copy orthologous,1,1,1,1
218107,core,3,2,2,2
218108,core & single copy orthologous,1,1,1,1
218109,core & single copy orthologous,1,1,1,1
218111,core & single copy orthologous,1,1,1,1
218113,core & single copy orthologous,1,1,1,1
218114,core & single copy orthologous,1,1,1,1
218115,core & single copy orthologous,1,1,1,1
218117,core,2,1,1,1
218118,core & single copy orthologous,1,1,1,1
218126,core,2,2,1,1
218127,core & single copy orthologous,1,1,1,1
218128,core & single copy orthologous,1,1,1,1
218129,core & single copy orthologous,1,1,1,1
